"state_id","calendar_year","first_treat","cohort","treated","event_time","divorce_rate","simulated_y0","simulated_y1","simulated_cohort_effect"
1,1975,1979,"1979 cohort",0,-4,4.83497882146992,4.83497882146992,5.01497882146992,0.18
1,1976,1979,"1979 cohort",0,-3,4.89064182825865,4.89064182825865,5.07064182825865,0.18
1,1977,1979,"1979 cohort",0,-2,4.82953073143536,4.82953073143536,5.00953073143535,0.18
1,1978,1979,"1979 cohort",0,-1,4.77470149995334,4.77470149995334,4.95470149995334,0.18
1,1979,1979,"1979 cohort",1,0,4.93322371336721,4.75322371336721,4.93322371336721,0.18
1,1980,1979,"1979 cohort",1,1,5.08667680333128,4.90667680333128,5.08667680333128,0.18
1,1981,1979,"1979 cohort",1,2,4.91594279683084,4.73594279683084,4.91594279683084,0.18
1,1982,1979,"1979 cohort",1,3,4.90675374384357,4.72675374384357,4.90675374384357,0.18
1,1983,1979,"1979 cohort",1,4,4.97778595493188,4.79778595493188,4.97778595493188,0.18
1,1984,1979,"1979 cohort",1,5,5.07311352735547,4.89311352735547,5.07311352735547,0.18
1,1985,1979,"1979 cohort",1,6,4.85647731433515,4.67647731433515,4.85647731433515,0.18
1,1986,1979,"1979 cohort",1,7,4.90351266139963,4.72351266139963,4.90351266139963,0.18
1,1987,1979,"1979 cohort",1,8,4.99464535365856,4.81464535365856,4.99464535365856,0.18
1,1988,1979,"1979 cohort",1,9,4.96612867417985,4.78612867417985,4.96612867417985,0.18
2,1975,1979,"1979 cohort",0,-4,5.18748303432838,5.18748303432838,5.36748303432838,0.18
2,1976,1979,"1979 cohort",0,-3,5.38406548837066,5.38406548837066,5.56406548837066,0.18
2,1977,1979,"1979 cohort",0,-2,5.30684507303421,5.30684507303421,5.48684507303421,0.18
2,1978,1979,"1979 cohort",0,-1,5.32293341631839,5.32293341631839,5.50293341631839,0.18
2,1979,1979,"1979 cohort",1,0,5.27417412517002,5.09417412517002,5.27417412517002,0.18
2,1980,1979,"1979 cohort",1,1,5.52501997707742,5.34501997707742,5.52501997707742,0.18
2,1981,1979,"1979 cohort",1,2,5.40430981334843,5.22430981334843,5.40430981334843,0.18
2,1982,1979,"1979 cohort",1,3,5.41805581300755,5.23805581300755,5.41805581300755,0.18
2,1983,1979,"1979 cohort",1,4,5.34879638103352,5.16879638103352,5.34879638103352,0.18
2,1984,1979,"1979 cohort",1,5,5.49968184261374,5.31968184261374,5.49968184261374,0.18
2,1985,1979,"1979 cohort",1,6,5.38409784830632,5.20409784830632,5.38409784830632,0.18
2,1986,1979,"1979 cohort",1,7,5.43719738844728,5.25719738844728,5.43719738844728,0.18
2,1987,1979,"1979 cohort",1,8,5.54405032618135,5.36405032618135,5.54405032618135,0.18
2,1988,1979,"1979 cohort",1,9,5.40077251470119,5.22077251470119,5.40077251470119,0.18
3,1975,1979,"1979 cohort",0,-4,4.77298876589112,4.77298876589112,4.95298876589112,0.18
3,1976,1979,"1979 cohort",0,-3,4.88718491405078,4.88718491405078,5.06718491405078,0.18
3,1977,1979,"1979 cohort",0,-2,4.87519674749525,4.87519674749525,5.05519674749525,0.18
3,1978,1979,"1979 cohort",0,-1,4.81255801203667,4.81255801203667,4.99255801203666,0.18
3,1979,1979,"1979 cohort",1,0,4.91759560242858,4.73759560242858,4.91759560242858,0.18
3,1980,1979,"1979 cohort",1,1,4.98114929855948,4.80114929855948,4.98114929855948,0.18
3,1981,1979,"1979 cohort",1,2,4.91511873057959,4.73511873057959,4.91511873057959,0.18
3,1982,1979,"1979 cohort",1,3,4.96965321569322,4.78965321569322,4.96965321569322,0.18
3,1983,1979,"1979 cohort",1,4,4.95066711637432,4.77066711637432,4.95066711637432,0.18
3,1984,1979,"1979 cohort",1,5,4.79529430346099,4.61529430346099,4.79529430346099,0.18
3,1985,1979,"1979 cohort",1,6,4.84760519795937,4.66760519795938,4.84760519795937,0.18
3,1986,1979,"1979 cohort",1,7,4.92105162483026,4.74105162483026,4.92105162483026,0.18
3,1987,1979,"1979 cohort",1,8,4.99653303391796,4.81653303391796,4.99653303391796,0.18
3,1988,1979,"1979 cohort",1,9,4.68429045843614,4.50429045843614,4.68429045843614,0.18
4,1975,1979,"1979 cohort",0,-4,5.15047578440344,5.15047578440344,5.33047578440344,0.18
4,1976,1979,"1979 cohort",0,-3,5.00961066823615,5.00961066823615,5.18961066823615,0.18
4,1977,1979,"1979 cohort",0,-2,5.06792273331336,5.06792273331336,5.24792273331336,0.18
4,1978,1979,"1979 cohort",0,-1,5.08569050681166,5.08569050681166,5.26569050681166,0.18
4,1979,1979,"1979 cohort",1,0,5.14069519362554,4.96069519362554,5.14069519362554,0.18
4,1980,1979,"1979 cohort",1,1,5.27122120545236,5.09122120545236,5.27122120545236,0.18
4,1981,1979,"1979 cohort",1,2,5.04273791668453,4.86273791668453,5.04273791668453,0.18
4,1982,1979,"1979 cohort",1,3,5.18678520167852,5.00678520167852,5.18678520167852,0.18
4,1983,1979,"1979 cohort",1,4,5.17656355261372,4.99656355261372,5.17656355261372,0.18
4,1984,1979,"1979 cohort",1,5,5.15839382849806,4.97839382849806,5.15839382849806,0.18
4,1985,1979,"1979 cohort",1,6,5.10205623370398,4.92205623370398,5.10205623370398,0.18
4,1986,1979,"1979 cohort",1,7,5.07081754361768,4.89081754361768,5.07081754361768,0.18
4,1987,1979,"1979 cohort",1,8,5.16900897506618,4.98900897506618,5.16900897506618,0.18
4,1988,1979,"1979 cohort",1,9,5.17819408545976,4.99819408545976,5.17819408545976,0.18
5,1975,1979,"1979 cohort",0,-4,5.73023452164425,5.73023452164425,5.91023452164425,0.18
5,1976,1979,"1979 cohort",0,-3,5.81262579151511,5.81262579151511,5.99262579151511,0.18
5,1977,1979,"1979 cohort",0,-2,5.64259028801647,5.64259028801647,5.82259028801647,0.18
5,1978,1979,"1979 cohort",0,-1,5.49550587257449,5.49550587257449,5.67550587257449,0.18
5,1979,1979,"1979 cohort",1,0,5.80445143539456,5.62445143539456,5.80445143539456,0.18
