"event_time","estimate","std_error","reference_period","conf_low","conf_high"
-7,-0.00436298907564202,0.0484377153517824,FALSE,-0.0992991666585383,0.0905731885072543
-6,-0.0128380974140399,0.0406568127071001,FALSE,-0.0925239860461464,0.0668477912180666
-5,-0.0231087084481402,0.0342390432178436,FALSE,-0.0902160000202241,0.0439985831239438
-4,0.017976176143491,0.0285573074312971,FALSE,-0.0379951179172894,0.0739474702042714
-3,-0.028979595054985,0.0311286965499979,FALSE,-0.0899907191786571,0.0320315290686872
-2,-0.00660134199650396,0.0263446938481064,FALSE,-0.0582359931225264,0.0450333091295185
-1,0,NA,TRUE,NA,NA
0,0.210405120063799,0.0367579959337937,FALSE,0.138360771889693,0.282449468237904
1,0.271440297129307,0.0219237203093296,FALSE,0.228470594915891,0.314409999342722
2,0.231120564841574,0.0340897580895999,FALSE,0.164305866744275,0.297935262938872
3,0.251153558746988,0.034040127325483,FALSE,0.184436135159884,0.317870982334093
4,0.227533551326648,0.0353566479086773,FALSE,0.158235794811578,0.296831307841719
5,0.238252477052115,0.0322532100212802,FALSE,0.175037347024599,0.30146760707963
6,0.224721365683573,0.0265298750346896,FALSE,0.172723766101233,0.276718965265913
7,0.208681453586587,0.0450292095232806,FALSE,0.120425824668649,0.296937082504525
8,0.140699550442624,0.0380498444909757,FALSE,0.0661232256229614,0.215275875262286
9,0.19370003623793,0.0414502833967486,FALSE,0.112458973631324,0.274941098844536
