"cohort_year","calendar_year","estimate","std_error","event_time","cohort","reference_period","conf_low","conf_high"
1979,1975,0.00852641349748493,0.0447896160753841,-4,"1979 cohort",FALSE,-0.0792596208916442,0.0963124478866141
1979,1976,0.00454297072439871,0.04188189996143,-3,"1979 cohort",FALSE,-0.0775440448041135,0.086629986252911
1979,1977,-0.050837239542309,0.0385049632517253,-2,"1979 cohort",FALSE,-0.126305580741729,0.0246311016571109
1979,1978,0,NA,-1,"1979 cohort",TRUE,NA,NA
1979,1979,0.147986154806714,0.0438613634138097,0,"1979 cohort",FALSE,0.0620194622028243,0.233952847410604
1979,1980,0.243706508314516,0.0292177023476222,1,"1979 cohort",FALSE,0.186440864002165,0.300972152626867
1979,1981,0.173809050203008,0.0510459190504966,2,"1979 cohort",FALSE,0.0737608873062879,0.273857213099729
1979,1982,0.205421582765146,0.0379213561188826,3,"1979 cohort",FALSE,0.131097090527218,0.279746075003074
1979,1983,0.158257071220596,0.0466385034004838,4,"1979 cohort",FALSE,0.066847284262799,0.249666858178393
1979,1984,0.16728984000109,0.0396897648248459,5,"1979 cohort",FALSE,0.0894993303895273,0.245080349612652
1979,1985,0.184817138882157,0.0324126429645551,6,"1979 cohort",FALSE,0.121289526027873,0.248344751736441
1979,1986,0.208681453586587,0.0455599845774425,7,"1979 cohort",FALSE,0.1193855246786,0.297977382494575
1979,1987,0.140699550442624,0.0378107394709892,8,"1979 cohort",FALSE,0.0665918628506577,0.214807238034589
1979,1988,0.19370003623793,0.0395641011541953,9,"1979 cohort",FALSE,0.116155822895007,0.271244249580852
1982,1975,-0.00436298907564202,0.0525779765323331,-7,"1982 cohort",FALSE,-0.107413929459007,0.0986879513077229
1982,1976,-0.0128380974140399,0.0436754929041042,-6,"1982 cohort",FALSE,-0.0984404905131188,0.0727642956850391
1982,1977,-0.0231087084481402,0.0350671698262669,-5,"1982 cohort",FALSE,-0.091839098347373,0.0456216814510927
1982,1978,0.0274259387894971,0.0367482914221262,-4,"1982 cohort",FALSE,-0.0445993888912525,0.0994512664702466
1982,1979,-0.0625021608343686,0.0465777189715195,-3,"1982 cohort",FALSE,-0.153792812500575,0.0287884908318376
1982,1980,0.0376345555493011,0.0286179984411095,-2,"1982 cohort",FALSE,-0.0184556907048969,0.093724801803499
1982,1981,0,NA,-1,"1982 cohort",TRUE,NA,NA
1982,1982,0.272824085320883,0.0485417829930281,0,"1982 cohort",FALSE,0.177683938909189,0.367964231732577
1982,1983,0.299174085944098,0.0373020323820906,1,"1982 cohort",FALSE,0.226063445925053,0.372284725963142
1982,1984,0.288432079480139,0.0410314930787,2,"1982 cohort",FALSE,0.208011830813983,0.368852328146295
1982,1985,0.29688553472883,0.0502922419491005,3,"1982 cohort",FALSE,0.198314551806819,0.395456517650842
1982,1986,0.296810031432701,0.0420391091089431,4,"1982 cohort",FALSE,0.214414891637023,0.379205171228379
1982,1987,0.30921511410314,0.0415067577541157,5,"1982 cohort",FALSE,0.227863363790044,0.390566864416235
1982,1988,0.264625592484989,0.0339604017649048,6,"1982 cohort",FALSE,0.198064428125265,0.331186756844713
