"candidate_id","simulated_true_test_score","simulated_latent_motivation","simulated_outcome_without_scholarship","simulated_outcome_with_scholarship","simulated_scholarship_effect","scenario","recorded_test_score","manipulated_score","received_scholarship","later_academic_score"
1,-2.40155383129604,0.504724166060428,69.5261412716038,73.5261412716038,4,"Failure: manipulation near cutoff",-2.40155383129604,0,0,69.5261412716038
2,-2.07404379965737,0.0797812344970869,67.4345684815596,71.4345684815596,4,"Failure: manipulation near cutoff",-2.07404379965737,0,0,67.4345684815596
3,-0.49796097446233,0.397115864662276,75.3713541619848,79.3713541619848,4,"Failure: manipulation near cutoff",-0.49796097446233,0,0,75.3713541619848
4,-1.75402831519023,0.371354424607802,67.7935240206791,71.7935240206791,4,"Failure: manipulation near cutoff",-1.75402831519023,0,0,67.7935240206791
5,0.875363505911082,1.04078192032782,79.2042679216594,83.2042679216594,4,"Failure: manipulation near cutoff",0.875363505911082,0,1,83.2042679216594
6,2.40226529189385,-1.23976942731838,88.3890485328724,92.3890485328724,4,"Failure: manipulation near cutoff",2.40226529189385,0,1,92.3890485328724
7,-0.863593615358695,0.417577920347998,72.6082629097129,76.6082629097129,4,"Failure: manipulation near cutoff",-0.863593615358695,0,0,72.6082629097129
8,0.591375168878585,0.563126530143179,76.2326641076579,80.2326641076579,4,"Failure: manipulation near cutoff",0.591375168878585,0,1,80.2326641076579
9,-0.513416064204648,-2.21629724498465,64.9422925562023,68.9422925562023,4,"Failure: manipulation near cutoff",-0.513416064204648,0,0,64.9422925562023
10,-0.598814666736871,-0.36366454345852,72.0562055486643,76.0562055486643,4,"Failure: manipulation near cutoff",-0.598814666736871,0,0,72.0562055486643
11,-2.2085017489735,1.11276734706171,70.6014483127636,74.6014483127636,4,"Failure: manipulation near cutoff",-2.2085017489735,0,0,70.6014483127636
12,-1.13237696932629,0.632391381197557,74.2704233599233,78.2704233599233,4,"Failure: manipulation near cutoff",-1.13237696932629,0,0,74.2704233599233
