"municipality_id","year","area","population","population_log","population_log_squared","elderly_share","population_density","log_population_density","pm10","elderly_pm10","hospital","unobserved_risk","year_centered","ordinary_mortality","previous_year_mortality","true_pandemic_effect","reporting_shock","observed_mortality_ideal","observed_mortality_failure"
1,2015,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,0,23.3460194193787,23.3460194193787,0,0,23.3460194193787,23.3460194193787
1,2016,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,1,23.5355536860313,23.3460194193787,0,0,23.5355536860313,23.5355536860313
1,2017,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,2,23.9897659735,23.5355536860313,0,0,23.9897659735,23.9897659735
1,2018,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,3,22.8346569424809,23.9897659735,0,0,22.8346569424809,22.8346569424809
1,2019,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,4,23.6287270575095,22.8346569424809,0,0,23.6287270575095,23.6287270575095
1,2020,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,5,24.6982352397364,23.6287270575095,1.18503661239324,3,25.8832718521297,28.8832718521297
2,2015,"Center",14386,9.5740184656442,91.6618295804961,23.9070573168775,199.48993129326,5.29576376534831,21.2006829749451,506.845943038962,0,-0.102505265195586,0,24.4680749522004,24.4680749522004,0,0,24.4680749522004,24.4680749522004
2,2016,"Center",14386,9.5740184656442,91.6618295804961,23.9070573168775,199.48993129326,5.29576376534831,21.2006829749451,506.845943038962,0,-0.102505265195586,1,25.4356624000696,24.4680749522004,0,0,25.4356624000696,25.4356624000696
2,2017,"Center",14386,9.5740184656442,91.6618295804961,23.9070573168775,199.48993129326,5.29576376534831,21.2006829749451,506.845943038962,0,-0.102505265195586,2,26.7358090176887,25.4356624000696,0,0,26.7358090176887,26.7358090176887
2,2018,"Center",14386,9.5740184656442,91.6618295804961,23.9070573168775,199.48993129326,5.29576376534831,21.2006829749451,506.845943038962,0,-0.102505265195586,3,27.4091063006823,26.7358090176887,0,0,27.4091063006823,27.4091063006823
